id,days
251658,11-20
277538,21-30
274922,21-30
268743,21-30
253003,21-30
317227,21-30
267584,21-30
211336,11-20
241902,21-30
13331,21-30
77315,21-30
130849,11-20
189411,21-30
217430,11-20
242362,11-20
232430,21-30
318309,21-30
52998,21-30
244660,11-20
109419,11-20
120421,11-20
128215,21-30
13264,21-30
215263,21-30
201815,21-30
87868,11-20
74623,21-30
78198,21-30
182949,21-30
125251,11-20
79330,11-20
22103,11-20
245027,21-30
163258,21-30
55753,21-30
186892,11-20
234530,11-20
248957,21-30
8148,21-30
277964,21-30
42619,21-30
242529,21-30
221048,21-30
259427,21-30
313925,11-20
105524,21-30
198248,21-30
199769,21-30
86351,21-30
84630,21-30
101441,11-20
152945,11-20
248664,11-20
97343,11-20
3103,21-30
5810,21-30
30536,21-30
85670,21-30
113539,11-20
288189,21-30
211536,11-20
67789,11-20
265005,11-20
95966,11-20
242410,11-20
313223,11-20
7320,21-30
129693,21-30
181623,21-30
312204,21-30
78731,11-20
242409,21-30
270969,11-20
229185,21-30
310177,21-30
108408,11-20
271853,21-30
52408,11-20
176113,21-30
226294,21-30
93771,11-20
211714,11-20
155295,21-30
224887,21-30
98327,21-30
225816,11-20
180763,21-30
169989,11-20
145163,11-20
267091,11-20
178648,21-30
122545,21-30
191802,11-20
168297,21-30
13186,21-30
173799,11-20
294911,21-30
234907,11-20
49838,21-30
28927,11-20
308588,11-20
63886,11-20
108016,21-30
7492,11-20
171206,21-30
110503,11-20
144138,11-20
313784,11-20
1524,21-30
17359,11-20
59003,21-30
230867,11-20
108325,21-30
129538,11-20
241903,11-20
309743,11-20
198014,21-30
317493,11-20
61145,21-30
184043,21-30
52116,21-30
235253,21-30
237283,21-30
106306,21-30
154739,11-20
129912,11-20
47927,11-20
197875,11-20
293875,21-30
243549,11-20
309390,21-30
198181,21-30
21269,21-30
96695,21-30
61278,11-20
15036,11-20
273467,21-30
317497,11-20
156160,11-20
205287,21-30
213242,11-20
75073,21-30
159804,11-20
223423,21-30
267750,11-20
4087,21-30
264652,21-30
254895,21-30
211205,21-30
35988,21-30
210522,11-20
298603,21-30
207192,11-20
185764,11-20
205231,21-30
226305,21-30
55870,21-30
137636,11-20
126763,21-30
237613,21-30
230653,11-20
50525,11-20
202962,21-30
130822,11-20
130267,11-20
8017,11-20
202219,21-30
123286,21-30
172954,21-30
86720,11-20
126469,21-30
216543,21-30
38243,11-20
181864,21-30
222527,11-20
109036,11-20
58124,21-30
301916,21-30
191272,21-30
275864,11-20
133639,21-30
301437,11-20
45779,11-20
172090,21-30
27193,21-30
63978,21-30
113126,21-30
18299,21-30
194221,11-20
312678,21-30
83732,21-30
237945,21-30
91251,21-30
163180,11-20
291766,11-20
33061,21-30
31173,21-30
43203,21-30
253196,11-20
277748,21-30
80401,21-30
182690,11-20
264636,11-20
259221,21-30
7845,21-30
244823,21-30
22193,11-20
175940,21-30
206436,11-20
2842,21-30
98913,21-30
247979,11-20
65388,21-30
36043,21-30
82208,21-30
177672,21-30
96881,21-30
23607,21-30
137208,21-30
270535,21-30
108737,21-30
311671,21-30
281762,21-30
105038,21-30
85578,11-20
235730,11-20
47522,21-30
259691,21-30
189330,21-30
67744,21-30
32443,21-30
12300,21-30
218387,21-30
304493,21-30
315047,21-30
262418,21-30
98529,21-30
64294,11-20
267526,21-30
261311,21-30
120842,21-30
284872,21-30
52799,21-30
300357,21-30
278737,21-30
258341,21-30
190225,21-30
171150,21-30
40949,11-20
122268,21-30
32845,11-20
252983,11-20
68828,21-30
298036,21-30
5375,21-30
302715,21-30
146351,11-20
154807,21-30
19873,11-20
223289,21-30
157009,21-30
38192,11-20
224690,11-20
110576,21-30
156350,21-30
182895,11-20
249316,21-30
134917,11-20
134899,21-30
287156,21-30
115330,21-30
1705,21-30
199490,21-30
235500,21-30
316731,21-30
31091,21-30
105865,21-30
172470,11-20
215046,11-20
171801,21-30
267881,21-30
292356,21-30
46240,11-20
238508,11-20
264401,21-30
84481,11-20
299628,21-30
190179,11-20
3885,21-30
40471,21-30
241705,21-30
177839,21-30
281252,11-20
73085,21-30
72630,21-30
88525,21-30
260816,11-20
22231,21-30
22698,21-30
98659,11-20
97820,11-20
309034,21-30
7072,21-30
260669,21-30
316642,21-30
232545,11-20
257048,11-20
140642,11-20
242428,11-20
163417,21-30
210994,21-30
208343,11-20
61489,21-30
14356,21-30
118855,21-30
67945,21-30
273045,11-20
126017,11-20
251704,11-20
178784,21-30
221909,11-20
47039,21-30
23904,11-20
218382,21-30
80442,11-20
280076,21-30
74511,11-20
26711,11-20
56386,21-30
286244,21-30
253316,21-30
166078,21-30
69315,11-20
293718,11-20
18256,21-30
298504,21-30
116832,11-20
254886,21-30
37604,21-30
314438,21-30
160814,21-30
26198,11-20
73217,21-30
204415,21-30
255894,21-30
286933,21-30
206340,21-30
73426,11-20
262323,21-30
72080,21-30
206974,21-30
162740,21-30
36062,21-30
183119,11-20
154721,21-30
115497,11-20
232739,11-20
205838,21-30
312565,21-30
88872,21-30
30560,21-30
38410,21-30
75380,11-20
308067,11-20
264741,21-30
125411,21-30
249684,21-30
14851,21-30
304172,11-20
10055,21-30
162397,21-30
154629,11-20
166341,21-30
26225,21-30
69818,11-20
242269,21-30
39476,11-20
205308,21-30
156340,21-30
50679,21-30
9814,21-30
117543,21-30
46693,11-20
138123,11-20
110409,11-20
169663,21-30
133573,21-30
250097,11-20
240537,21-30
250718,11-20
276109,21-30
128065,21-30
150557,11-20
138503,11-20
21383,11-20
217545,21-30
98074,21-30
161157,21-30
102447,11-20
260041,21-30
191957,21-30
41604,21-30
270226,21-30
203090,21-30
131068,11-20
189884,21-30
252075,11-20
306461,21-30
135842,21-30
175556,21-30
215157,21-30
133042,11-20
60476,21-30
96797,21-30
157798,21-30
35723,21-30
271779,11-20
196147,21-30
277570,21-30
215359,11-20
208322,21-30
141596,11-20
286056,21-30
293102,21-30
270038,11-20
94659,21-30
161822,11-20
182079,21-30
207201,21-30
41758,21-30
262537,21-30
308797,21-30
86688,21-30
224558,21-30
246713,11-20
99634,11-20
138786,21-30
56475,21-30
281810,21-30
99079,21-30
16536,11-20
313832,11-20
131825,11-20
125380,21-30
166180,21-30
294029,11-20
32639,21-30
130602,21-30
201839,11-20
295006,11-20
235177,11-20
118324,11-20
211379,21-30
259376,11-20
80697,21-30
90181,21-30
100981,21-30
195769,11-20
168329,21-30
289207,21-30
237496,21-30
224063,21-30
71709,21-30
144301,11-20
231246,11-20
167181,21-30
109482,11-20
242405,11-20
86433,21-30
95167,21-30
19275,11-20
123482,21-30
5203,21-30
282072,11-20
89575,11-20
138583,21-30
36945,11-20
112558,21-30
255840,11-20
109465,21-30
113402,21-30
215829,11-20
239426,11-20
71776,21-30
227633,21-30
4595,11-20
140053,11-20
278039,11-20
205977,11-20
197029,11-20
32603,21-30
79990,21-30
239367,21-30
177246,21-30
16367,21-30
145042,21-30
179063,21-30
126891,11-20
173990,21-30
248884,11-20
293215,21-30
278362,11-20
218217,21-30
266801,21-30
135234,21-30
86124,11-20
224660,21-30
239180,21-30
48389,11-20
7189,11-20
236683,21-30
31424,21-30
41485,21-30
96380,11-20
52293,11-20
203965,11-20
140116,11-20
180308,21-30
213228,21-30
31704,11-20
80191,21-30
133104,21-30
52567,11-20
231593,21-30
180480,11-20
210711,21-30
210546,11-20
95332,21-30
17199,21-30
309520,21-30
287316,21-30
275635,11-20
200711,21-30
207,11-20
279845,21-30
187553,21-30
245966,11-20
227745,11-20
43461,11-20
269287,21-30
310065,11-20
15009,21-30
45764,21-30
184297,21-30
194890,21-30
164006,11-20
177174,21-30
272394,21-30
131130,21-30
289945,21-30
227617,11-20
215343,11-20
301478,11-20
254944,21-30
119503,21-30
66354,21-30
120759,21-30
200210,21-30
280670,21-30
235427,11-20
274812,11-20
284354,21-30
295750,21-30
297454,11-20
180934,21-30
236225,21-30
198494,21-30
251623,21-30
140530,21-30
219684,11-20
23010,21-30
101217,21-30
48674,21-30
185593,21-30
16804,21-30
71276,21-30
53364,21-30
285505,21-30
20935,21-30
138530,21-30
118400,11-20
183043,21-30
287668,21-30
245202,11-20
162195,21-30
8008,21-30
100840,11-20
189424,11-20
297169,21-30
7042,21-30
60138,21-30
284786,21-30
96275,11-20
116102,21-30
180736,21-30
6279,11-20
292608,21-30
172084,21-30
94238,21-30
126159,21-30
167219,21-30
241851,21-30
104965,11-20
260489,21-30
285123,11-20
317629,11-20
52073,21-30
110899,11-20
34675,21-30
179017,21-30
267311,21-30
14035,21-30
15875,21-30
76252,21-30
287305,21-30
172228,21-30
54697,21-30
283879,21-30
244362,21-30
55693,21-30
271594,21-30
108816,21-30
227420,21-30
52860,21-30
50581,21-30
69783,11-20
246795,21-30
76738,21-30
103978,21-30
213045,21-30
102560,11-20
41742,21-30
235678,21-30
24978,11-20
206310,21-30
283489,21-30
641,21-30
87388,21-30
185068,21-30
34609,11-20
114595,21-30
89829,11-20
48383,21-30
33483,21-30
17306,11-20
77272,21-30
28329,21-30
10630,11-20
52426,21-30
295226,21-30
24673,21-30
239127,21-30
107293,11-20
244566,21-30
33406,21-30
286405,11-20
63854,11-20
5669,21-30
297114,11-20
236715,11-20
107157,21-30
188756,11-20
127196,11-20
57849,21-30
316263,11-20
56332,11-20
75747,21-30
77176,21-30
80331,21-30
179517,21-30
15895,21-30
193339,21-30
12769,21-30
179993,21-30
46476,21-30
279662,21-30
41849,11-20
195952,11-20
165816,11-20
229433,21-30
44617,21-30
174788,21-30
13189,21-30
293997,11-20
272350,21-30
300067,21-30
250512,21-30
107002,21-30
293746,11-20
87979,21-30
129511,21-30
284200,21-30
157957,21-30
131752,21-30
2462,11-20
104184,11-20
168775,11-20
73298,21-30
11907,11-20
237194,21-30
274386,21-30
44902,21-30
79885,21-30
266683,21-30
311981,21-30
174188,21-30
141261,21-30
99573,21-30
78715,11-20
303175,11-20
249256,11-20
127963,11-20
125954,21-30
40040,21-30
41652,21-30
185386,11-20
73655,21-30
56273,11-20
227567,21-30
133500,11-20
236924,11-20
194347,21-30
201008,21-30
5089,21-30
252681,11-20
87258,21-30
198817,21-30
225573,21-30
235078,21-30
95896,11-20
259588,21-30
212091,21-30
14112,21-30
266081,21-30
266307,11-20
271588,21-30
121564,21-30
143155,21-30
103572,11-20
175295,21-30
176122,11-20
148887,11-20
275020,21-30
112784,11-20
280722,21-30
70889,11-20
290094,21-30
196208,21-30
172600,21-30
61502,11-20
145143,21-30
17019,11-20
238980,21-30
162710,21-30
192920,11-20
310055,21-30
291878,11-20
60362,21-30
189808,21-30
315415,21-30
90855,21-30
286147,21-30
146507,11-20
209664,21-30
122838,21-30
79869,21-30
17682,21-30
82735,21-30
57868,11-20
47468,11-20
185247,21-30
93636,11-20
97767,21-30
99500,21-30
307148,21-30
4720,21-30
86448,21-30
163494,21-30
178842,21-30
185385,21-30
306673,21-30
94159,21-30
128483,21-30
257138,21-30
185442,21-30
37504,21-30
249410,21-30
157633,11-20
275464,21-30
310276,11-20
26432,21-30
135057,11-20
34182,21-30
14707,21-30
95178,21-30
117912,11-20
257612,11-20
240874,11-20
83769,21-30
312405,21-30
52610,21-30
117263,11-20
228393,21-30
59660,21-30
173289,21-30
110026,21-30
302925,21-30
179018,11-20
183996,21-30
23553,11-20
214289,11-20
52071,21-30
303077,11-20
268947,21-30
165114,11-20
173966,21-30
118281,11-20
215436,21-30
43464,11-20
137639,11-20
75963,21-30
174173,11-20
186723,21-30
19258,21-30
33547,21-30
172196,21-30
259043,21-30
47722,21-30
170482,21-30
142830,21-30
279277,21-30
118440,11-20
26686,11-20
133097,11-20
11964,21-30
313244,11-20
25966,21-30
253423,21-30
226801,21-30
94386,21-30
134812,11-20
143665,21-30
147129,11-20
117720,21-30
21127,11-20
89413,21-30
123067,11-20
87031,21-30
65221,21-30
14387,21-30
317652,21-30
225157,11-20
97016,11-20
184125,21-30
250675,11-20
231893,21-30
129965,21-30
309722,21-30
198055,21-30
284431,21-30
269460,21-30
256549,21-30
249336,21-30
202375,21-30
302167,21-30
220081,21-30
281692,21-30
12025,21-30
229588,21-30
311253,21-30
232047,11-20
317603,21-30
26837,21-30
45454,11-20
300958,21-30
195872,11-20
250762,21-30
122518,11-20
38443,11-20
11475,21-30
160704,21-30
305154,11-20
85647,21-30
168348,21-30
147393,21-30
215284,21-30
142551,11-20
171677,21-30
135287,21-30
90514,21-30
74922,21-30
314038,11-20
269758,11-20
102945,11-20
156498,11-20
179882,21-30
196922,21-30
67846,11-20
268807,21-30
286232,11-20
318252,21-30
10147,21-30
294471,21-30
94928,21-30
178312,21-30
204308,21-30
99173,21-30
203857,21-30
69974,11-20
153775,21-30
294807,21-30
282511,11-20
217207,21-30
227265,21-30
140410,11-20
54278,21-30
77198,21-30
5066,21-30
210209,21-30
214967,21-30
311418,21-30
257822,11-20
298505,21-30
240610,21-30
308725,11-20
10297,21-30
91621,21-30
98341,11-20
205631,11-20
82571,21-30
5360,21-30
205497,11-20
178421,21-30
41923,11-20
203918,21-30
235903,11-20
142370,21-30
21424,11-20
216158,21-30
197084,11-20
175733,21-30
273841,21-30
200425,11-20
296503,11-20
299785,21-30
313314,21-30
75891,21-30
14329,21-30
317155,21-30
268567,21-30
238792,11-20
173551,21-30
134753,21-30
22857,21-30
303217,11-20
286052,11-20
223791,21-30
8448,11-20
24027,11-20
69607,21-30
22433,11-20
207638,21-30
295235,21-30
110580,21-30
98012,21-30
267939,11-20
280167,21-30
235129,11-20
174156,21-30
78823,21-30
179362,21-30
132609,21-30
265593,11-20
40704,21-30
258343,21-30
88223,21-30
36708,21-30
163031,21-30
314557,11-20
67329,11-20
101374,21-30
161408,11-20
154627,11-20
49901,11-20
317846,21-30
11860,11-20
141333,21-30
239512,21-30
245244,21-30
281415,21-30
143146,21-30
268671,21-30
123206,21-30
271468,21-30
222094,21-30
131616,11-20
115931,21-30
177091,21-30
193426,11-20
45759,11-20
296937,11-20
57434,21-30
41681,21-30
101558,21-30
184211,21-30
69379,11-20
297192,11-20
288830,21-30
99499,21-30
273059,21-30
155520,21-30
77253,21-30
17409,11-20
249808,11-20
297389,21-30
217840,21-30
177895,21-30
116370,11-20
193703,21-30
253870,21-30
291773,11-20
177258,21-30
94297,11-20
149428,21-30
61239,21-30
311409,21-30
46659,21-30
19880,21-30
151691,11-20
151052,11-20
302576,11-20
225705,21-30
215957,11-20
141705,21-30
137529,11-20
239575,11-20
307681,11-20
161119,21-30
194202,11-20
131835,21-30
153643,21-30
115582,21-30
36239,21-30
157249,11-20
254493,21-30
75327,21-30
227315,21-30
142811,11-20
79602,11-20
96641,21-30
306646,21-30
251004,21-30
309893,21-30
314964,21-30
60305,11-20
140337,21-30
144887,11-20
32907,21-30
20870,21-30
205282,21-30
25025,11-20
18584,11-20
13413,11-20
212236,21-30
300809,11-20
261280,11-20
63658,21-30
264883,11-20
58602,21-30
134035,21-30
207394,11-20
147736,11-20
229562,21-30
116529,21-30
104378,11-20
169105,21-30
121131,21-30
184204,21-30
6801,21-30
34617,21-30
235061,11-20
195147,21-30
210832,11-20
60570,21-30
137470,21-30
183475,21-30
166628,11-20
4190,11-20
128048,21-30
199726,11-20
165827,11-20
53330,21-30
164312,11-20
260537,21-30
224244,11-20
99399,11-20
111853,21-30
306940,21-30
205458,21-30
79250,21-30
64275,21-30
50515,11-20
186733,21-30
306443,21-30
139906,21-30
210919,11-20
108684,21-30
54566,21-30
277520,11-20
191452,21-30
284644,21-30
147042,21-30
127684,11-20
213681,11-20
86805,21-30
87034,11-20
148387,21-30
205210,11-20
237559,11-20
176716,21-30
7905,21-30
43081,11-20
307346,21-30
83696,21-30
82983,11-20
59935,21-30
58603,21-30
86007,21-30
217666,21-30
192819,21-30
187063,21-30
18510,21-30
313396,21-30
158785,11-20
116551,21-30
60639,11-20
75040,11-20
2558,21-30
248512,21-30
291723,21-30
124997,11-20
252608,11-20
73959,21-30
318251,11-20
245950,21-30
57059,11-20
116806,21-30
116222,11-20
98911,21-30
232036,21-30
14165,11-20
260304,21-30
218852,21-30
104948,11-20
275496,11-20
285060,21-30
10722,11-20
5791,11-20
234372,11-20
119248,11-20
246952,21-30
245234,21-30
52679,11-20
259605,11-20
250687,11-20
179717,11-20
252477,21-30
82521,21-30
22251,21-30
32289,21-30
229503,21-30
289335,11-20
83972,21-30
35613,21-30
83539,21-30
48066,21-30
84713,21-30
233174,11-20
225300,21-30
241555,11-20
39347,21-30
241286,21-30
86793,21-30
301219,11-20
5524,21-30
298352,21-30
36033,11-20
142671,21-30
235565,21-30
255335,21-30
47773,21-30
150847,11-20
296332,11-20
134490,21-30
147326,21-30
96972,11-20
146396,11-20
101222,21-30
180724,11-20
306299,11-20
51100,11-20
141207,21-30
192309,21-30
196953,21-30
82794,11-20
36597,21-30
43746,21-30
195049,21-30
236353,11-20
289979,21-30
275523,21-30
106384,21-30
213912,11-20
300144,21-30
179782,11-20
228443,11-20
62640,11-20
156003,11-20
65313,21-30
104432,21-30
280232,21-30
124489,11-20
194524,21-30
181604,21-30
316377,21-30
31178,11-20
219339,21-30
304697,21-30
168355,11-20
163204,11-20
202782,11-20
20557,21-30
128845,11-20
149152,11-20
285948,21-30
147467,11-20
112016,21-30
27346,21-30
164131,21-30
317927,11-20
259823,11-20
207371,11-20
22384,21-30
76257,21-30
67592,21-30
146871,11-20
148442,21-30
280173,21-30
137173,11-20
201701,21-30
113725,11-20
88077,21-30
27017,21-30
297885,11-20
107406,11-20
189473,11-20
297090,21-30
87127,21-30
180908,21-30
234391,21-30
83218,11-20
44786,21-30
106112,21-30
277878,21-30
307358,21-30
3698,21-30
26460,11-20
266020,21-30
207318,21-30
33811,11-20
245743,21-30
257004,11-20
16013,21-30
193538,21-30
220773,21-30
83888,21-30
284940,11-20
29408,21-30
317137,21-30
173960,21-30
145319,21-30
14093,21-30
13804,11-20
262654,11-20
262609,21-30
140535,11-20
178191,21-30
166996,21-30
304224,11-20
173996,11-20
220632,11-20
280004,21-30
94694,21-30
211243,21-30
269271,21-30
200870,21-30
312581,21-30
48336,11-20
44249,21-30
284612,21-30
31040,11-20
221410,21-30
233086,11-20
82296,21-30
14218,21-30
287852,21-30
300690,21-30
8967,11-20
10064,21-30
141251,11-20
238635,11-20
152983,21-30
13455,21-30
116769,11-20
36580,21-30
94916,21-30
148640,11-20
291824,21-30
102381,21-30
214443,11-20
280584,21-30
183555,21-30
216798,21-30
190750,21-30
36233,21-30
21211,21-30
226704,11-20
282959,21-30
6821,11-20
73307,21-30
305923,11-20
117645,21-30
47909,21-30
74080,21-30
129837,21-30
30447,11-20
33575,11-20
297019,21-30
45692,11-20
239749,21-30
1407,21-30
30204,21-30
171904,11-20
285223,21-30
42647,11-20
248368,11-20
193130,21-30
24956,21-30
45315,21-30
1867,21-30
258314,21-30
106139,11-20
23950,21-30
283454,21-30
273051,21-30
154987,21-30
300270,21-30
268332,11-20
168716,11-20
305047,21-30
5173,21-30
214756,21-30
314515,21-30
169706,21-30
166599,21-30
290667,11-20
113880,21-30
168241,11-20
189710,11-20
259852,21-30
235989,11-20
149175,21-30
75435,21-30
229110,21-30
183791,11-20
183241,21-30
210993,21-30
20559,21-30
189172,21-30
85386,21-30
220258,21-30
73055,21-30
255708,11-20
209745,11-20
195825,21-30
148810,11-20
126568,21-30
33632,21-30
109088,21-30
195689,21-30
36036,21-30
147135,11-20
57917,21-30
288031,21-30
313607,11-20
258236,11-20
301468,21-30
115158,21-30
30938,21-30
259784,21-30
192216,21-30
68614,21-30
191573,21-30
29129,11-20
270943,21-30
310426,21-30
8411,11-20
31755,21-30
116856,21-30
214929,21-30
283203,21-30
239914,11-20
133588,11-20
309321,21-30
197715,21-30
209315,21-30
28099,11-20
50053,21-30
64770,21-30
227563,21-30
227221,21-30
315666,21-30
80679,11-20
121742,21-30
125957,21-30
35520,11-20
74762,21-30
3217,21-30
140364,21-30
305055,21-30
179536,11-20
52668,21-30
206746,11-20
286167,11-20
253078,21-30
18779,11-20
118587,11-20
17286,11-20
181068,11-20
126826,11-20
283411,21-30
264104,21-30
14527,11-20
147761,21-30
279344,11-20
216838,21-30
120051,11-20
66799,11-20
215799,11-20
181183,21-30
284428,21-30
105739,21-30
208788,21-30
195089,21-30
76261,21-30
240646,11-20
25573,21-30
63024,11-20
300676,21-30
94779,11-20
235142,21-30
296586,21-30
225564,11-20
213104,21-30
131930,11-20
13771,11-20
1393,11-20
197725,21-30
183881,21-30
174610,21-30
84349,21-30
149531,11-20
232009,21-30
233843,21-30
85330,21-30
203437,11-20
127676,21-30
262916,21-30
69923,21-30
58942,21-30
65978,21-30
152426,21-30
81503,11-20
290833,11-20
228781,21-30
48287,11-20
72270,21-30
176279,21-30
183552,21-30
297985,11-20
237183,11-20
286582,21-30
138991,21-30
172433,21-30
64838,11-20
159414,21-30
57787,21-30
97385,21-30
120400,11-20
280048,21-30
109678,11-20
317982,11-20
13047,11-20
301877,21-30
163372,11-20
101051,21-30
103204,21-30
248835,11-20
4723,21-30
109338,21-30
39619,21-30
278414,21-30
110442,21-30
296958,21-30
277146,11-20
97396,21-30
153553,11-20
64581,11-20
49969,11-20
126309,11-20
127294,11-20
91961,21-30
191181,21-30
42831,11-20
124254,11-20
125979,21-30
3176,21-30
87617,21-30
134450,21-30
10557,21-30
54844,21-30
222172,21-30
22294,11-20
74967,21-30
258284,11-20
245145,11-20
300559,21-30
59439,11-20
214767,21-30
302353,21-30
22415,21-30
2020,21-30
62686,21-30
147349,11-20
37284,21-30
192787,21-30
70085,11-20
197588,21-30
40967,21-30
69714,21-30
211701,21-30
284825,21-30
174178,11-20
287145,11-20
270005,21-30
264623,21-30
290390,21-30
45827,21-30
286306,21-30
42746,11-20
87104,21-30
84814,11-20
43670,11-20
161553,21-30
247354,11-20
218673,21-30
246435,11-20
257077,21-30
43764,11-20
192962,21-30
190629,21-30
35373,11-20
7094,21-30
198974,21-30
241255,11-20
65732,21-30
264300,21-30
129507,21-30
203789,21-30
27167,11-20
257357,21-30
115201,21-30
33393,11-20
298017,11-20
159074,21-30
92706,11-20
287405,11-20
228842,21-30
138013,21-30
61458,21-30
198708,21-30
53356,21-30
123845,21-30
53994,21-30
7856,21-30
111749,21-30
232621,21-30
234086,21-30
222467,21-30
49206,11-20
268148,21-30
218909,11-20
275937,11-20
195393,11-20
101160,11-20
222982,21-30
32462,21-30
14678,21-30
264630,11-20
12317,21-30
80919,21-30
30293,21-30
137930,11-20
23102,21-30
145991,11-20
300684,11-20
65774,21-30
214028,11-20
248354,11-20
313988,11-20
179496,11-20
2948,21-30
183959,11-20
110421,11-20
102974,21-30
210077,11-20
3819,11-20
246621,11-20
80243,21-30
260986,21-30
264452,11-20
307190,11-20
159216,21-30
51885,21-30
273390,21-30
211437,21-30
282033,21-30
178758,21-30
32873,21-30
163274,21-30
87164,21-30
206045,21-30
270167,21-30
289105,21-30
300249,21-30
184465,11-20
251285,21-30
150972,21-30
81419,21-30
178370,21-30
122485,11-20
170576,21-30
99876,11-20
124486,21-30
3542,21-30
234835,21-30
32390,11-20
133062,11-20
146151,11-20
316899,21-30
142668,21-30
58636,11-20
235806,21-30
81139,21-30
31953,11-20
303629,21-30
216253,21-30
132304,11-20
294558,21-30
210372,21-30
14666,21-30
4813,21-30
32736,21-30
67710,11-20
289922,21-30
90243,21-30
90332,21-30
141154,21-30
201911,11-20
250769,11-20
309930,21-30
91170,21-30
275001,21-30
255965,21-30
290553,21-30
189828,21-30
317542,21-30
264012,21-30
17944,11-20
99958,21-30
307276,21-30
249634,21-30
245520,11-20
291257,11-20
96180,11-20
285805,11-20
193889,21-30
272949,21-30
104485,21-30
220428,11-20
206389,21-30
122619,11-20
267705,21-30
184847,11-20
91263,21-30
303661,21-30
279037,21-30
300195,21-30
262090,11-20
150984,11-20
136238,11-20
117009,21-30
140294,21-30
155824,11-20
101408,21-30
